date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:22:51	153/153	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2026%20Sep%202024%2019:22:51%20GMT	http://www.peinture-delemer.fr/revetements-exterieurs-saint-leger-du-bourg-denis-76160	C:/Users/Tobi/Desktop/Nouveau%20dossier/sdfsfsf/www.peinture-delemer.fr/revetements-exterieurs-saint-leger-du-bourg-denis-76160	(from https://www.peinture-delemer.fr/plan-du-site)
21:22:52	79366/79366	---M-Z	200	added ('OK')	text/html	etag:W/%22915a2f7de24edba4d05ce848524a8832%22	https://www.peinture-delemer.fr/revetements-exterieurs-saint-leger-du-bourg-denis-76160	C:/Users/Tobi/Desktop/Nouveau%20dossier/sdfsfsf/www.peinture-delemer.fr/revetements-exterieurs-saint-leger-du-bourg-denis-76160.html	(from https://www.peinture-delemer.fr/plan-du-site)
21:22:52	147/147	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2026%20Sep%202024%2019:22:52%20GMT	http://www.peinture-delemer.fr/revetements-exterieurs-sotteville-les-rouen-76300	C:/Users/Tobi/Desktop/Nouveau%20dossier/sdfsfsf/www.peinture-delemer.fr/revetements-exterieurs-sotteville-les-rouen-76300	(from https://www.peinture-delemer.fr/plan-du-site)
21:22:52	79250/79250	---M-Z	200	added ('OK')	text/html	etag:W/%228941785e4b6d78ec7072ee34e764f480%22	https://www.peinture-delemer.fr/revetements-exterieurs-sotteville-les-rouen-76300	C:/Users/Tobi/Desktop/Nouveau%20dossier/sdfsfsf/www.peinture-delemer.fr/revetements-exterieurs-sotteville-les-rouen-76300.html	(from https://www.peinture-delemer.fr/plan-du-site)
21:22:53	141/141	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2026%20Sep%202024%2019:22:52%20GMT	http://www.peinture-delemer.fr/revetements-exterieurs-bois-guillaume-76230	C:/Users/Tobi/Desktop/Nouveau%20dossier/sdfsfsf/www.peinture-delemer.fr/revetements-exterieurs-bois-guillaume-76230	(from https://www.peinture-delemer.fr/plan-du-site)
21:22:53	78927/78927	---M-Z	200	added ('OK')	text/html	etag:W/%22c777eba56d6fd05618bd367384571f7e%22	https://www.peinture-delemer.fr/revetements-exterieurs-bois-guillaume-76230	C:/Users/Tobi/Desktop/Nouveau%20dossier/sdfsfsf/www.peinture-delemer.fr/revetements-exterieurs-bois-guillaume-76230.html	(from https://www.peinture-delemer.fr/plan-du-site)
21:22:53	144/144	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2026%20Sep%202024%2019:22:53%20GMT	http://www.peinture-delemer.fr/revetements-exterieurs-mont-saint-aignan-76130	C:/Users/Tobi/Desktop/Nouveau%20dossier/sdfsfsf/www.peinture-delemer.fr/revetements-exterieurs-mont-saint-aignan-76130	(from https://www.peinture-delemer.fr/plan-du-site)
21:22:54	79324/79324	---M-Z	200	added ('OK')	text/html	etag:W/%2253f9740906c94e719fc338d5f3ceb039%22	https://www.peinture-delemer.fr/revetements-exterieurs-mont-saint-aignan-76130	C:/Users/Tobi/Desktop/Nouveau%20dossier/sdfsfsf/www.peinture-delemer.fr/revetements-exterieurs-mont-saint-aignan-76130.html	(from https://www.peinture-delemer.fr/plan-du-site)
21:22:54	143/143	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2026%20Sep%202024%2019:22:54%20GMT	http://www.peinture-delemer.fr/revetements-exterieurs-le-mesnil-esnard-76240	C:/Users/Tobi/Desktop/Nouveau%20dossier/sdfsfsf/www.peinture-delemer.fr/revetements-exterieurs-le-mesnil-esnard-76240	(from https://www.peinture-delemer.fr/plan-du-site)
21:22:55	78912/78912	---M-Z	200	added ('OK')	text/html	etag:W/%2262fc8d24297831aab78ff926d29c2835%22	https://www.peinture-delemer.fr/revetements-exterieurs-le-mesnil-esnard-76240	C:/Users/Tobi/Desktop/Nouveau%20dossier/sdfsfsf/www.peinture-delemer.fr/revetements-exterieurs-le-mesnil-esnard-76240.html	(from https://www.peinture-delemer.fr/plan-du-site)
21:22:55	137/137	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2026%20Sep%202024%2019:22:54%20GMT	http://www.peinture-delemer.fr/revetements-interieurs-bonsecours-76240	C:/Users/Tobi/Desktop/Nouveau%20dossier/sdfsfsf/www.peinture-delemer.fr/revetements-interieurs-bonsecours-76240	(from https://www.peinture-delemer.fr/plan-du-site)
